element,position,team_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,code,web_name,first_name,second_name,element_type
248,1,CLAMBORGER,90,0,0,0,1,0,0,0,0,0,3,0,14,1,0.0,0.0,0.0,0.61,3,false,80201,Leno,Bernd,Leno,1
3,2,CLAMBORGER,90,0,0,1,0,0,0,0,1,0,0,1,25,1,0.0,0.02,0.02,1.28,6,false,226597,Gabriel,Gabriel,dos Santos Magalhães,2
495,3,CLAMBORGER,90,0,0,1,0,0,0,0,0,0,0,0,23,1,0.03,0.11,0.14,1.0,6,false,441164,Pedro Porro,Pedro,Porro,2
45,4,CLAMBORGER,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.09,0.09,0.38,1,false,441302,Maatsen,Ian,Maatsen,2
117,5,CLAMBORGER,70,0,1,0,2,0,0,0,0,0,0,0,19,1,0.0,0.19,0.19,1.74,5,false,536916,Buonanotte,Facundo,Buonanotte,3
199,6,CLAMBORGER,90,0,0,0,2,0,0,0,0,0,0,0,14,1,0.45,0.17,0.62,1.39,2,false,232413,Eze,Eberechi,Eze,3
336,7,CLAMBORGER,90,0,0,1,0,0,0,0,1,0,0,0,9,1,0.06,0.41,0.47,0.36,2,false,424876,Szoboszlai,Dominik,Szoboszlai,3
102,8,CLAMBORGER,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.02,0.02,0.13,1,false,428580,Onyeka,Frank,Onyeka,3
401,9,CLAMBORGER,90,0,0,0,1,0,0,0,0,0,0,0,8,1,0.26,0.03,0.29,2.23,2,false,219168,Isak,Alexander,Isak,4
58,10,CLAMBORGER,64,0,0,1,0,0,0,0,0,0,0,0,-1,1,0.87,0.0,0.87,0.36,2,false,178301,Watkins,Ollie,Watkins,4
589,11,CLAMBORGER,27,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.25,0.0,0.25,0.56,1,false,91889,Füllkrug,Niclas,Füllkrug,4
142,12,CLAMBORGER,90,0,0,0,1,0,0,0,0,0,2,0,15,1,0.0,0.0,0.0,1.43,2,false,49262,Steele,Jason,Steele,1
369,14,CLAMBORGER,90,0,0,0,2,0,0,0,0,0,0,0,19,1,0.02,0.05,0.07,2.09,1,false,216051,Dalot,Diogo,Dalot Teixeira,2
216,15,CLAMBORGER,90,0,0,0,2,0,0,0,0,0,0,0,16,1,0.02,0.17,0.19,1.39,2,false,496221,Wharton,Adam,Wharton,3
413,1,Choochie Maserati,90,0,0,0,1,0,0,0,0,0,3,0,14,1,0.0,0.0,0.0,2.23,3,false,98747,Pope,Nick,Pope,1
200,2,Choochie Maserati,90,0,0,0,2,0,0,0,0,0,0,0,6,1,0.0,0.02,0.02,1.39,1,false,209036,Guéhi,Marc,Guéhi,2
369,3,Choochie Maserati,90,0,0,0,2,0,0,0,0,0,0,0,19,1,0.02,0.05,0.07,2.09,1,false,216051,Dalot,Diogo,Dalot Teixeira,2
361,4,Choochie Maserati,90,0,0,0,1,0,0,0,1,0,0,0,8,1,0.0,0.05,0.05,0.29,1,false,171314,Rúben,Rúben,Gato Alves Dias,2
366,5,Choochie Maserati,78,0,0,0,1,0,0,0,0,0,0,0,15,1,0.07,0.73,0.8,1.5,2,false,141746,B.Fernandes,Bruno,Borges Fernandes,3
494,6,Choochie Maserati,78,0,1,1,0,0,0,0,0,0,0,0,25,1,0.41,0.38,0.79,1.0,6,false,172780,Maddison,James,Maddison,3
19,7,Choochie Maserati,68,1,0,0,1,0,0,0,0,0,0,3,32,1,0.53,0.03,0.56,0.34,10,false,209289,Smith Rowe,Emile,Smith Rowe,3
346,8,Choochie Maserati,70,0,0,0,1,0,0,0,0,0,0,0,14,1,0.0,0.44,0.44,0.29,2,false,248875,Doku,Jérémy,Doku,3
251,9,Choochie Maserati,79,0,0,0,1,0,0,0,0,0,0,0,8,1,0.58,0.01,0.59,0.46,2,false,244042,Muniz,Rodrigo,Muniz Carvalho,4
207,10,Choochie Maserati,90,0,0,0,2,0,0,0,0,0,0,0,5,1,0.3,0.23,0.53,1.39,2,false,231747,Mateta,Jean-Philippe,Mateta,4
453,11,Choochie Maserati,70,0,0,0,1,0,0,0,1,0,0,0,1,1,0.02,0.01,0.03,2.14,1,false,155511,Armstrong,Adam,Armstrong,4
554,12,Choochie Maserati,90,0,0,0,6,0,0,0,0,0,2,0,-11,1,0.0,0.01,0.01,1.56,-1,false,149065,José Sá,José,Malheiro de Sá,1
385,13,Choochie Maserati,64,0,0,0,1,0,0,0,0,0,0,0,4,1,0.0,0.01,0.01,1.33,2,false,176297,Rashford,Marcus,Rashford,3
24,14,Choochie Maserati,90,0,0,1,0,0,0,0,0,0,0,0,23,1,0.0,0.02,0.02,1.28,6,false,198869,White,Benjamin,White,2
380,15,Choochie Maserati,90,0,0,0,2,0,0,0,0,0,0,0,8,1,0.0,0.19,0.19,2.09,1,false,221820,Martinez,Lisandro,Martínez,2
310,1,Love to My Lover,90,0,0,1,0,0,0,0,0,0,2,0,25,1,0.0,0.0,0.0,0.36,6,false,116535,A.Becker,Alisson,Ramses Becker,1
3,2,Love to My Lover,90,0,0,1,0,0,0,0,1,0,0,1,25,1,0.0,0.02,0.02,1.28,6,false,226597,Gabriel,Gabriel,dos Santos Magalhães,2
339,3,Love to My Lover,90,0,0,1,0,0,0,0,0,0,0,1,31,1,0.02,0.01,0.03,0.36,7,false,97032,Virgil,Virgil,van Dijk,2
505,4,Love to My Lover,72,0,0,1,0,0,0,0,0,0,0,0,30,1,0.0,0.01,0.01,1.0,6,false,487053,Udogie,Destiny,Udogie,2
182,5,Love to My Lover,82,1,3,0,2,0,0,0,1,0,0,2,61,1,0.67,0.15,0.82,1.8,17,true,244851,Palmer,Cole,Palmer,3
503,6,Love to My Lover,90,2,0,1,0,0,0,0,0,0,0,3,55,1,1.14,0.05,1.19,1.0,16,true,85971,Son,Son,Heung-min,3
366,7,Love to My Lover,78,0,0,0,1,0,0,0,0,0,0,0,15,1,0.07,0.73,0.8,1.5,2,false,141746,B.Fernandes,Bruno,Borges Fernandes,3
398,8,Love to My Lover,88,1,0,0,1,0,0,0,0,0,0,3,38,1,0.65,0.38,1.03,2.15,10,false,232826,Gordon,Anthony,Gordon,3
327,9,Love to My Lover,71,1,1,1,0,0,0,0,0,0,0,3,51,1,0.87,0.17,1.04,0.36,14,true,244731,Luis Díaz,Luis,Díaz,3
4,10,Love to My Lover,90,0,0,1,0,0,0,0,0,0,0,0,-2,1,0.21,0.03,0.24,1.28,2,false,219847,Havertz,Kai,Havertz,4
